Date_,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,MA30_,STD30_,Upper_Band_,Lower_Band_
2026-03-30,246.40298461914062,250.63907198816298,245.28400520065438,249.83982057534305,39446200,258.3359888712565,7.733048004946652,273.8020848811498,242.8698928613632
2026-03-31,253.55638122558594,255.24482803058763,246.87255213324852,247.6818040942864,49598100,257.9999643961589,7.7137500260381335,273.4274644482351,242.57246434408262
2026-04-01,255.3946990966797,255.94418062939917,253.096813183035,253.8461228128272,40059400,257.7095647176107,7.639555867263496,272.9886764521377,242.4304529830837
2026-04-02,255.68443298339844,255.89424639361263,250.4192795609811,253.96601496217014,31289400,257.55437520345055,7.631559776134775,272.8174947557201,242.291255651181
2026-04-06,258.6217041015625,261.9186847371787,256.2239194053331,256.27389167390277,29329900,257.36388346354164,7.527041796057027,272.4179670556557,242.30979987142757
2026-04-07,253.26666259765625,255.96418954301222,245.47383916108728,255.92421782448065,62148000,256.941606648763,7.38359925704612,271.70880516285524,242.17440813467078
2026-04-08,258.66168212890625,259.51090582044134,256.29386854025813,258.2121146377317,41032800,256.50067850748695,6.8347348878957535,270.1701482832785,242.83120873169545
2026-04-09,260.2502136230469,260.879638597066,255.8342992320816,258.7615948993736,28121600,256.04309895833336,6.03732437496128,268.11774770825593,243.9684502084108
2026-04-10,260.240234375,261.94865175168746,258.78155637925676,259.7406946341393,31291500,255.62781473795573,5.226129052244678,266.0800728424451,245.17555663346639
2026-04-13,258.96142578125,259.9405042051452,256.4237552437805,259.49093671136296,36234700,255.46196797688802,5.0285681029483,265.51910418278464,245.40483177099142
2026-04-14,258.59173583984375,261.68888841493145,256.9532612999924,259.01136264890187,48370700,255.26581522623698,4.77309656889454,264.81200836402604,245.7196220884479
2026-04-15,266.18475341796875,266.3146386359468,257.57269269729437,257.92237663273806,49913500,255.35506591796874,4.954114813805774,265.26329554558026,245.4468362903572
2026-04-16,263.15753173828125,266.91408037974617,261.0294875448873,266.55439590858066,43323100,255.38437194824218,4.998879831982073,265.3821316122063,245.38661228427804
2026-04-17,269.98126220703125,272.0493335842862,266.47448343207725,266.7142527536172,61436200,255.71540018717448,5.609982002294369,266.9353641917632,244.49543618258573
2026-04-20,272.79864501953125,274.0275237795767,270.04120633500696,270.08114756253855,36590200,256.2345886230469,6.417010707155099,269.0686100373571,243.40056720873667
2026-04-21,265.9250183105469,272.5488901425708,265.1557075406741,271.250098918132,50209800,256.4440633138021,6.63103643258729,269.70613617897664,243.1819904486275
2026-04-22,272.9185791015625,273.48803128351057,266.62435952726383,267.5734973129919,43249200,256.855019124349,7.249979332973152,271.35497779029527,242.35506045840268
2026-04-23,273.1783142089844,275.5161566987003,271.39995382845746,274.79681820267325,33399600,257.2752990722656,7.816106839813835,272.9075127518933,241.64308539263794
2026-04-24,270.81048583984375,272.80864483253174,269.4017800912603,272.50893317942314,38157100,257.7848297119141,8.187462725260037,274.1597551624342,241.40990426139402
2026-04-27,267.3636474609375,268.1129570778125,264.8260075108844,265.84505761361925,41466800,258.36729227701824,8.227887274152074,274.82306682532237,241.9115177287141
2026-04-28,270.4608154296875,272.97851539952296,268.4127145556596,272.0893199684016,40018900,258.9630762736003,8.439320784169412,275.8417178419391,242.08443470526146
2026-04-29,269.92132568359375,270.7905199823619,266.7942019267937,267.3037117460274,30047900,259.4939208984375,8.615141636000768,276.72420417043907,242.26363762643598
2026-04-30,271.1002502441406,275.7459641951834,267.893213328058,270.25102650288807,91848200,260.2069310506185,8.662500439985212,277.53193193058894,242.88193017064808
2026-05-01,279.88214111328125,286.95561044034525,278.1137509144006,278.6032901046287,79915400,261.24530741373695,9.095651097882307,279.43660960950155,243.05400521797233
2026-05-04,276.5751647949219,280.3716851917065,274.60697695873915,279.4025768563376,46668400,262.2057551066081,9.143905413983502,280.4935659345751,243.91794427864107
2026-05-05,283.9184265136719,284.30808218316156,276.2455026895375,276.6750995896243,49311700,263.29441884358727,9.721574902649314,282.7375686488859,243.85126903828865
2026-05-06,287.245361328125,287.76487170009636,280.8112868075762,281.66051049385584,58336100,264.4889851888021,10.389519567296002,285.26802432339406,243.70994605421006
2026-05-07,287.1754150390625,291.8611003514943,285.5169394038565,289.00371711581823,45224300,265.6485834757487,10.920099604544637,287.488782684838,243.80838426665943
2026-05-08,293.0500183105469,294.4886952888782,289.7330669166447,289.7430674686918,52692800,266.99500986735023,11.723666075934261,290.44234201921876,243.5476777154817
2026-05-11,292.67999267578125,293.8800048828125,290.2300109863281,291.9800109863281,42247300,268.465310160319,12.093466690923258,292.65224354216554,244.27837677847248
2026-05-12,294.79998779296875,295.2699890136719,292.55999755859375,292.55999755859375,45748100,270.0785435994466,12.275570827919404,294.62968525528544,245.5274019436078
2026-05-13,298.8699951171875,300.9200134277344,293.5,293.5,52684300,271.58899739583336,12.942207409448537,297.47341221473044,245.70458257693628
2026-05-14,298.2099914550781,300.45001220703125,295.3800048828125,299.82000732421875,35324900,273.0161738077799,13.445725250982356,299.9076243097446,246.12472330581522
2026-05-15,300.2300109863281,303.20001220703125,296.5199890136719,297.8999938964844,54862800,274.5010264078776,13.917117189198608,302.33526078627483,246.66679202948038
2026-05-18,297.8399963378906,300.6600036621094,294.9100036621094,300.239990234375,34483000,275.8083028157552,14.21289345091784,304.2340897175909,247.38251591391952
2026-05-19,298.9700012207031,300.510009765625,296.3500061035156,296.9700012207031,42243600,277.3317474365234,14.162719506860594,305.6571864502446,249.00630842280222
2026-05-20,302.25,302.79998779296875,298.0799865722656,298.17999267578125,38229800,278.7846913655599,14.414926030488362,307.61454342653667,249.9548393045832
2026-05-21,304.989990234375,305.5400085449219,300.3999938964844,301.05999755859375,42965100,280.27601725260416,14.741896567786611,309.75981038817736,250.79222411703094
2026-05-22,308.82000732421875,311.3999938964844,305.8399963378906,306.1199951171875,43670200,281.8953430175781,15.128236004629096,312.1518150268363,251.6388710083199
2026-05-26,308.3299865722656,311.82000732421875,307.6700134277344,309.55999755859375,48000500,283.54096171061195,15.232255031862934,314.0054717743378,253.07645164688608
2026-05-27,310.8500061035156,313.260009765625,308.29998779296875,308.3299865722656,50430900,285.28290405273435,15.268759346795518,315.8204227463254,254.7453853591433
2026-05-28,312.510009765625,312.79998779296875,309.57000732421875,310.67999267578125,48220400,286.8270792643229,15.609410250882709,318.0458997660883,255.60825876255748
2026-05-29,312.05999755859375,315.0,309.5299987792969,311.7799987792969,70026800,288.45716145833336,15.605806401521619,319.6687742613766,257.2455486552901
2026-06-01,306.30999755859375,310.94000244140625,305.0199890136719,309.6300048828125,48849900,289.6681193033854,15.532021369011124,320.73216204140766,258.6040765653632
2026-06-02,315.20001220703125,315.45001220703125,306.69000244140625,307.4599914550781,44534700,291.0814982096354,15.869550263129469,322.82059873589435,259.3423976833765
2026-06-03,310.260009765625,316.94000244140625,308.8500061035156,314.17999267578125,50836700,292.559331258138,15.506264863038506,323.571860984215,261.546801532061
2026-06-04,311.2300109863281,313.5400085449219,309.6499938964844,313.2300109863281,44869100,293.8363789876302,15.41024386033297,324.65686670829615,263.0158912669643
2026-06-05,307.3399963378906,315.1700134277344,307.1499938964844,312.8599853515625,65310500,294.9751017252604,15.089942090061209,325.15498590538283,264.795217545138
2026-06-08,301.5400085449219,317.3999938964844,301.1700134277344,308.739990234375,77949100,295.999419148763,14.421220919305481,324.841860987374,267.15697731015206
2026-06-09,290.54998779296875,300.75,287.7799987792969,300.2799987792969,70108800,296.7722971598307,13.42019250676909,323.6126821733689,269.9319121462925
2026-06-10,291.5799865722656,294.75,287.3800048828125,290.739990234375,52793300,297.47626953125,12.515843953322872,322.50795743789575,272.44458162460427
2026-06-11,295.6300048828125,297.0,289.5899963378906,293.7200012207031,42572500,298.3332255045573,11.393958929539433,321.1211433636361,275.54530764547843
2026-06-12,291.1300048828125,297.1400146484375,289.6199951171875,296.0299987792969,38742100,299.000883992513,10.275053674912748,319.55099134233853,278.4507766426875
2026-06-15,296.4200134277344,297.7799987792969,291.70001220703125,294.1199951171875,45732600,299.55214640299477,9.6378259261163,318.8277982552274,280.27649455076215
2026-06-16,299.239990234375,300.4800109863281,293.9700012207031,295.25,39874400,300.3076405843099,8.60788648575433,317.5234135558186,283.09186761280125
2026-06-17,295.95001220703125,302.07000732421875,294.3599853515625,300.8500061035156,42745100,300.7086934407552,8.08219172265046,316.87307688605614,284.5443099954543
2026-06-18,298.010009765625,300.57000732421875,295.6199951171875,298.1099853515625,85962200,301.06751505533856,7.693463104523756,316.45444126438605,285.6805888462911
2026-06-22,297.010009765625,302.4200134277344,296.760009765625,297.30999755859375,44879900,301.3953348795573,7.2794959869075635,315.95432685337244,286.8363429057422
2026-06-23,294.29998779296875,301.6400146484375,294.17999267578125,297.5400085449219,52010900,301.43700052897134,7.233514798183437,315.90403012533824,286.96997093260444
2026-06-24,293.0799865722656,299.70001220703125,292.94000244140625,295.3599853515625,53081900,301.45033365885416,7.217167073151758,315.8846678051577,287.01599951255065
2026-06-25,275.1499938964844,288.79998779296875,273.75,287.3999938964844,107013700,300.7953338623047,8.600616549205542,317.99656696071577,283.5941007638936
2026-06-26,283.7799987792969,285.95001220703125,274.2099914550781,275.0,261775500,300.292333984375,9.141364830859255,318.5750636460935,282.00960432265646
2026-06-29,281.739990234375,288.3699951171875,279.8500061035156,286.7300109863281,66427000,299.7433339436849,9.745349474499589,319.23403289268407,280.2526349946857
2026-06-30,289.3599853515625,289.94000244140625,280.70001220703125,281.1700134277344,65100200,299.38099975585936,9.927012514721062,319.2350247853015,279.5269747264172
2026-07-01,294.3800048828125,296.5899963378906,289.20001220703125,293.44000244140625,50164200,299.2656667073568,9.965557847906528,319.19678240316983,279.33455101154374
2026-07-02,308.6300048828125,309.4200134277344,293.67999267578125,294.1199951171875,75352800,299.58766682942706,10.110682030279479,319.80903088998605,279.3663027688681
